sn,fault_time,label
SERVER_101,2020-08-26 22:51:00,2
SERVER_754,2020-10-21 21:45:00,2
SERVER_116,2020-04-26 22:25:00,2
SERVER_622,2020-05-04 03:23:00,2
SERVER_763,2020-06-08 05:05:00,2
SERVER_519,2020-10-27 03:13:00,2
SERVER_307,2020-03-02 11:44:00,2
SERVER_139,2020-02-28 12:35:00,2
SERVER_182,2020-06-16 16:00:00,2
SERVER_137,2020-03-11 07:05:00,2
SERVER_640,2020-05-09 11:10:00,2
SERVER_113,2020-04-21 05:38:00,2
SERVER_434,2020-07-28 16:10:00,2
SERVER_766,2020-01-04 03:34:00,2
SERVER_288,2020-04-14 05:42:00,2
SERVER_295,2020-02-07 15:33:00,3
SERVER_544,2020-07-25 04:44:00,2
SERVER_704,2020-01-17 12:01:00,3
SERVER_786,2020-10-24 05:56:00,2
SERVER_854,2020-02-03 10:19:00,2
SERVER_804,2020-05-08 04:47:00,2
SERVER_185,2020-05-29 14:15:00,2
SERVER_765,2020-02-22 03:02:00,2
SERVER_13619,2020-09-08 17:17:00,3
SERVER_13636,2020-10-03 06:05:00,2
SERVER_13621,2020-07-15 22:43:00,3
SERVER_13633,2020-03-16 19:32:00,3
SERVER_13626,2020-01-30 23:09:00,3
SERVER_1172,2020-01-09 20:49:00,1
SERVER_1002,2020-11-01 13:52:00,2
SERVER_1028,2020-07-16 18:21:00,3
SERVER_1153,2020-06-07 09:05:00,2
SERVER_1117,2020-07-23 01:56:00,2
SERVER_980,2020-07-07 04:22:00,2
SERVER_1160,2020-07-06 12:49:00,2
SERVER_1197,2020-02-02 14:39:00,2
SERVER_1386,2020-06-18 06:08:00,2
SERVER_1090,2020-03-21 21:42:00,2
SERVER_1052,2020-01-15 14:42:00,2
SERVER_1359,2020-10-07 19:58:00,2
SERVER_1150,2020-06-23 13:39:00,2
SERVER_1382,2020-05-31 20:57:00,2
SERVER_1058,2020-10-30 17:57:00,2
SERVER_1208,2020-05-17 01:41:00,2
SERVER_1350,2020-08-31 22:42:00,2
SERVER_1098,2020-06-26 09:40:00,2
SERVER_1074,2020-09-11 10:39:00,2
SERVER_960,2020-10-20 07:43:00,2
SERVER_1375,2020-09-07 12:17:00,3
SERVER_1173,2020-07-24 10:24:00,1
SERVER_1164,2020-11-05 14:54:00,2
SERVER_977,2020-06-29 13:42:00,2
SERVER_1114,2020-10-17 16:41:00,3
SERVER_1369,2020-02-21 03:26:00,3
SERVER_1239,2020-05-27 13:33:00,3
SERVER_1086,2020-05-14 20:11:00,2
SERVER_1223,2020-05-21 18:49:00,3
SERVER_1108,2020-04-10 10:38:00,2
SERVER_1289,2020-05-06 11:01:00,3
SERVER_1796,2020-05-02 12:07:00,2
SERVER_1066,2020-08-18 03:59:00,2
SERVER_1134,2020-07-04 18:12:00,1
SERVER_1236,2020-07-12 11:53:00,2
SERVER_1100,2020-08-03 15:51:00,2
SERVER_1148,2020-10-05 21:59:00,2
SERVER_991,2020-10-14 17:05:00,3
SERVER_1167,2020-01-10 21:38:00,2
SERVER_1185,2020-02-20 05:58:00,1
SERVER_900,2020-03-28 15:48:00,3
SERVER_1076,2020-08-11 14:03:00,3
SERVER_1105,2020-07-30 04:17:00,2
SERVER_1107,2020-03-10 17:07:00,3
SERVER_1359,2020-11-17 08:47:00,3
SERVER_1202,2020-06-26 21:44:00,3
SERVER_1096,2020-03-06 20:39:00,2
SERVER_999,2020-10-20 19:44:00,2
SERVER_1020,2020-07-02 21:43:00,3
SERVER_1050,2020-02-21 21:38:00,2
SERVER_1365,2020-09-30 20:46:00,3
SERVER_1091,2020-09-08 01:52:00,2
SERVER_1634,2020-05-04 08:01:00,2
SERVER_1840,2020-06-01 19:47:00,2
SERVER_2884,2019-12-29 21:42:00,2
SERVER_1694,2020-01-02 15:43:00,2
SERVER_1945,2020-10-15 13:37:00,2
SERVER_1636,2020-07-07 21:22:00,2
SERVER_1333,2020-08-07 06:06:00,2
SERVER_1947,2020-06-06 22:48:00,2
SERVER_1495,2020-06-12 22:36:00,2
SERVER_1139,2020-04-01 16:56:00,3
SERVER_1809,2020-05-22 08:09:00,2
SERVER_998,2020-09-05 14:07:00,3
SERVER_1839,2020-06-08 20:48:00,2
SERVER_1835,2020-06-02 11:03:00,2
SERVER_25750,2020-07-03 03:44:00,0
SERVER_2937,2020-09-02 03:12:00,3
SERVER_1485,2020-02-25 03:38:00,3
SERVER_1329,2020-02-14 19:41:00,2
SERVER_1139,2020-04-01 16:56:00,3
SERVER_998,2020-09-08 15:00:00,3
SERVER_15963,2020-03-04 06:12:00,2
SERVER_13994,2020-01-29 17:44:00,2
SERVER_3490,2020-01-08 13:23:00,2
SERVER_1463,2020-04-22 11:10:00,2
SERVER_3942,2020-04-18 16:35:00,1
SERVER_2359,2020-08-22 17:51:00,1
SERVER_14428,2020-01-21 18:52:00,2
SERVER_2737,2020-08-07 12:39:00,3
SERVER_2094,2020-04-14 18:43:00,3
SERVER_14253,2020-06-12 13:15:00,2
SERVER_14817,2020-08-31 18:36:00,1
SERVER_3070,2020-09-05 22:10:00,3
SERVER_13955,2020-09-14 05:44:00,2
SERVER_7492,2020-10-17 06:05:00,3
SERVER_2368,2020-08-22 06:51:00,2
SERVER_14364,2020-02-10 11:57:00,2
SERVER_2000,2020-01-07 17:50:00,1
SERVER_1757,2020-02-01 14:48:00,2
SERVER_14672,2020-01-06 09:33:00,2
SERVER_2921,2020-01-10 18:19:00,2
SERVER_15635,2020-04-10 17:24:00,3
SERVER_1750,2020-02-28 14:03:00,1
SERVER_2242,2020-01-18 14:44:00,2
SERVER_14443,2020-11-06 18:58:00,3
SERVER_15021,2020-07-17 05:41:00,1
SERVER_1956,2020-05-19 23:52:00,2
SERVER_2039,2020-06-19 02:27:00,2
SERVER_14408,2020-04-05 08:01:00,2
SERVER_16603,2020-01-02 04:16:00,1
SERVER_14778,2020-07-22 03:58:00,3
SERVER_14567,2020-01-30 19:53:00,2
SERVER_1875,2020-02-16 15:45:00,2
SERVER_15948,2020-06-16 19:49:00,2
SERVER_2917,2020-03-11 03:30:00,2
SERVER_1758,2020-01-05 16:28:00,2
SERVER_14439,2020-03-19 20:00:00,2
SERVER_14314,2020-09-28 18:15:00,2
SERVER_16568,2020-01-22 17:01:00,2
SERVER_1469,2020-01-13 12:12:00,2
SERVER_15051,2020-04-30 14:35:00,2
SERVER_14921,2020-03-18 23:05:00,2
SERVER_14978,2020-08-29 20:35:00,3
SERVER_14795,2020-02-27 02:41:00,1
SERVER_15211,2020-09-13 11:57:00,1
SERVER_14636,2020-08-13 10:20:00,2
SERVER_2845,2020-05-21 19:13:00,3
SERVER_13956,2020-08-17 12:46:00,2
SERVER_14423,2020-05-28 17:17:00,2
SERVER_15557,2020-05-26 23:27:00,2
SERVER_2032,2020-05-14 03:26:00,2
SERVER_3726,2020-06-02 04:41:00,3
SERVER_15267,2020-03-06 11:51:00,3
SERVER_15293,2020-01-30 11:49:00,2
SERVER_14926,2020-07-29 12:14:00,3
SERVER_26691,2020-08-27 12:16:00,0
SERVER_17464,2020-10-22 14:47:00,1
SERVER_15011,2020-02-21 17:58:00,2
SERVER_14354,2020-10-06 08:57:00,2
SERVER_14524,2020-07-25 19:47:00,3
SERVER_14209,2020-11-20 15:08:00,1
SERVER_25724,2020-08-24 13:41:00,0
SERVER_2952,2020-07-10 16:30:00,2
SERVER_2348,2020-08-08 16:54:00,2
SERVER_15259,2020-05-01 15:08:00,2
SERVER_14753,2020-01-07 06:46:00,1
SERVER_14857,2020-07-15 16:31:00,3
SERVER_14535,2020-08-31 08:54:00,1
SERVER_15686,2020-06-24 17:42:00,2
SERVER_15116,2020-02-16 16:47:00,3
SERVER_2909,2020-07-09 18:36:00,3
SERVER_14307,2020-04-11 18:11:00,1
SERVER_16456,2020-05-21 08:31:00,2
SERVER_5380,2020-07-10 15:23:00,2
SERVER_1911,2019-12-31 19:08:00,3
SERVER_14284,2020-09-09 22:46:00,2
SERVER_14257,2020-02-11 06:35:00,2
SERVER_2857,2020-05-10 16:11:00,3
SERVER_1862,2020-03-16 18:05:00,2
SERVER_15699,2020-04-06 18:03:00,2
SERVER_15101,2020-11-17 22:33:00,1
SERVER_7450,2020-08-22 01:14:00,2
SERVER_15882,2020-01-07 11:56:00,1
SERVER_15079,2020-07-24 13:53:00,1
SERVER_15527,2020-02-04 11:18:00,2
SERVER_2458,2020-05-16 21:37:00,1
SERVER_2491,2020-05-04 21:10:00,1
SERVER_1552,2020-05-01 22:05:00,3
SERVER_1505,2020-05-29 05:19:00,2
SERVER_3106,2020-01-19 16:46:00,1
SERVER_15153,2020-01-09 03:14:00,2
SERVER_2831,2020-11-14 08:57:00,3
SERVER_14633,2020-01-31 01:17:00,2
SERVER_1612,2020-04-15 17:25:00,3
SERVER_14268,2020-04-16 12:48:00,2
SERVER_2017,2020-06-11 14:33:00,2
SERVER_1881,2020-01-17 20:19:00,2
SERVER_1814,2020-05-07 11:43:00,2
SERVER_14933,2020-09-11 17:42:00,1
SERVER_15170,2020-06-03 11:32:00,3
SERVER_14463,2020-08-05 16:17:00,2
SERVER_3313,2020-05-04 23:10:00,2
SERVER_2245,2020-01-18 19:33:00,2
SERVER_3918,2020-02-21 00:56:00,1
SERVER_1437,2020-08-14 21:07:00,2
SERVER_15521,2020-06-23 20:19:00,2
SERVER_14765,2020-02-28 22:23:00,2
SERVER_15792,2020-05-19 10:57:00,2
SERVER_1429,2020-11-16 14:22:00,1
SERVER_14930,2020-08-24 03:05:00,3
SERVER_16551,2020-04-12 16:15:00,2
SERVER_14601,2020-02-02 22:27:00,1
SERVER_17308,2020-06-02 02:26:00,2
SERVER_13965,2020-08-21 18:59:00,3
SERVER_15697,2020-09-30 13:31:00,2
SERVER_1926,2020-06-13 06:01:00,1
SERVER_3913,2020-02-11 14:39:00,3
SERVER_1919,2020-11-23 15:45:00,2
SERVER_14407,2020-05-26 07:49:00,2
SERVER_1551,2020-03-14 16:36:00,3
SERVER_1504,2020-10-23 09:55:00,3
SERVER_1446,2020-07-08 03:30:00,2
SERVER_15005,2020-10-01 07:51:00,1
SERVER_26725,2020-10-14 17:22:00,0
SERVER_15595,2020-02-21 04:09:00,3
SERVER_2294,2020-08-18 11:57:00,1
SERVER_14543,2020-04-21 14:57:00,2
SERVER_14472,2020-10-08 09:30:00,2
SERVER_15297,2020-02-15 02:57:00,2
SERVER_1974,2020-08-29 16:03:00,3
SERVER_14272,2020-04-17 17:19:00,2
SERVER_15243,2020-11-17 19:28:00,3
SERVER_2080,2020-01-30 16:29:00,2
SERVER_14230,2020-05-23 05:37:00,2
SERVER_2504,2020-01-28 10:51:00,2
SERVER_14479,2020-05-27 08:51:00,2
SERVER_7363,2020-04-14 06:52:00,3
SERVER_7000,2020-07-14 14:05:00,2
SERVER_14395,2020-06-29 16:34:00,2
SERVER_14232,2020-05-27 05:19:00,2
SERVER_14492,2020-11-10 17:56:00,2
SERVER_1448,2020-07-09 19:07:00,2
SERVER_2852,2020-03-05 17:30:00,3
SERVER_1582,2020-04-02 15:24:00,2
SERVER_1815,2020-03-02 11:11:00,2
SERVER_2283,2020-05-09 10:52:00,2
SERVER_1660,2020-05-16 13:49:00,1
SERVER_14875,2020-08-19 16:10:00,3
SERVER_15209,2020-06-20 13:54:00,1
SERVER_2598,2020-07-31 08:51:00,2
SERVER_14269,2020-02-24 09:05:00,2
SERVER_14420,2020-10-03 13:18:00,1
SERVER_1930,2020-04-06 00:59:00,1
SERVER_1322,2020-05-19 04:19:00,1
SERVER_6991,2020-11-01 10:06:00,1
SERVER_2915,2020-02-21 01:23:00,2
SERVER_6697,2020-03-07 15:54:00,2
SERVER_2418,2020-09-19 02:21:00,2
SERVER_15212,2020-05-05 04:51:00,1
SERVER_1581,2020-01-11 17:48:00,1
SERVER_15299,2020-07-06 13:06:00,2
SERVER_14198,2020-02-06 05:03:00,2
SERVER_7383,2020-05-22 20:33:00,2
SERVER_3131,2020-04-25 16:10:00,2
SERVER_14270,2020-02-09 01:21:00,3
SERVER_14806,2020-08-16 16:26:00,2
SERVER_14304,2020-03-27 14:12:00,2
SERVER_1743,2020-02-20 10:45:00,1
SERVER_13936,2020-10-31 16:09:00,3
SERVER_2584,2020-03-06 16:41:00,3
SERVER_15006,2020-01-29 13:02:00,2
SERVER_2026,2020-03-29 11:58:00,2
SERVER_15292,2020-01-29 06:38:00,2
SERVER_3072,2020-04-12 16:49:00,2
SERVER_15960,2020-07-15 12:49:00,2
SERVER_5416,2020-11-13 20:37:00,2
SERVER_2362,2020-05-19 10:45:00,2
SERVER_2567,2020-01-03 20:23:00,3
SERVER_15516,2020-06-15 14:51:00,2
SERVER_3360,2020-04-13 21:26:00,2
SERVER_26712,2020-09-13 04:18:00,0
SERVER_15539,2020-01-16 20:13:00,2
SERVER_1271,2020-05-15 12:02:00,2
SERVER_15237,2020-02-01 04:55:00,2
SERVER_14774,2020-01-01 10:38:00,2
SERVER_2243,2019-12-28 00:28:00,2
SERVER_2045,2020-09-12 21:35:00,2
SERVER_2583,2020-10-03 08:17:00,3
SERVER_14475,2020-03-21 07:08:00,2
SERVER_14911,2020-03-19 18:11:00,3
SERVER_15899,2020-06-05 18:04:00,2
SERVER_14265,2020-07-20 14:05:00,2
SERVER_1567,2020-03-29 00:39:00,2
SERVER_14307,2020-04-23 09:55:00,2
SERVER_16454,2020-04-15 21:40:00,2
SERVER_16824,2020-09-13 03:09:00,2
SERVER_7492,2020-01-02 02:22:00,2
SERVER_15622,2020-08-14 12:06:00,2
SERVER_3930,2020-02-10 12:44:00,2
SERVER_2951,2020-08-19 11:49:00,2
SERVER_15021,2020-07-26 14:40:00,1
SERVER_3015,2020-09-19 12:22:00,2
SERVER_2026,2020-11-08 08:43:00,2
SERVER_14299,2020-05-27 22:37:00,2
SERVER_14452,2020-03-26 09:14:00,2
SERVER_1612,2020-08-09 15:50:00,1
SERVER_1592,2020-01-19 09:01:00,2
SERVER_1283,2020-05-09 14:44:00,2
SERVER_1696,2020-03-03 05:46:00,3
SERVER_2267,2020-08-14 21:44:00,2
SERVER_2364,2020-07-08 01:15:00,1
SERVER_14291,2020-06-11 02:06:00,2
SERVER_1813,2020-09-29 13:30:00,1
SERVER_1709,2020-08-13 11:16:00,1
SERVER_15962,2020-03-27 17:41:00,2
SERVER_2955,2020-07-15 14:27:00,2
SERVER_2070,2020-01-04 10:19:00,2
SERVER_1537,2020-02-22 19:35:00,2
SERVER_2828,2020-03-09 20:02:00,2
SERVER_15721,2020-04-02 16:41:00,1
SERVER_2266,2020-10-14 21:34:00,2
SERVER_1823,2020-05-15 02:19:00,2
SERVER_1473,2020-03-29 02:02:00,2
SERVER_2919,2020-05-06 16:49:00,2
SERVER_14832,2020-08-02 07:02:00,2
SERVER_14340,2020-02-06 01:44:00,2
SERVER_7369,2020-05-11 02:57:00,3
SERVER_1513,2020-01-19 20:06:00,2
SERVER_4753,2020-02-25 07:42:00,2
SERVER_1970,2020-09-19 07:40:00,1
SERVER_1755,2020-04-26 19:43:00,1
SERVER_1812,2020-11-17 10:23:00,1
SERVER_14406,2020-10-18 15:42:00,2
SERVER_3437,2020-01-04 16:42:00,2
SERVER_15477,2020-07-04 18:08:00,2
SERVER_1568,2020-08-17 10:39:00,2
SERVER_2042,2020-10-11 13:37:00,2
SERVER_14435,2020-04-06 21:57:00,2
SERVER_14918,2020-03-02 09:52:00,1
SERVER_1731,2020-11-13 02:42:00,2
SERVER_1612,2020-01-30 04:07:00,3
SERVER_2018,2020-11-25 02:24:00,2
SERVER_15483,2020-04-23 07:21:00,2
SERVER_14429,2020-10-13 21:13:00,2
SERVER_15167,2020-02-18 20:09:00,1
SERVER_14381,2020-06-17 11:41:00,2
SERVER_14324,2020-02-27 12:04:00,2
SERVER_14456,2020-03-01 15:11:00,2
SERVER_1521,2020-01-23 04:21:00,2
SERVER_1502,2020-02-22 11:15:00,2
SERVER_7003,2020-05-24 00:47:00,2
SERVER_5381,2020-09-21 23:21:00,2
SERVER_1640,2020-01-03 12:54:00,3
SERVER_3586,2020-03-28 10:57:00,3
SERVER_3401,2020-06-13 19:52:00,2
SERVER_14973,2020-02-27 21:53:00,3
SERVER_2090,2020-09-17 06:56:00,2
SERVER_1483,2020-10-18 18:03:00,2
SERVER_6497,2020-02-29 19:53:00,2
SERVER_1591,2020-02-22 09:54:00,2
SERVER_3931,2020-08-12 05:26:00,2
SERVER_14174,2020-03-28 02:46:00,1
SERVER_2569,2020-04-18 11:10:00,2
SERVER_15166,2020-10-15 16:49:00,2
SERVER_15602,2020-03-10 07:43:00,2
SERVER_14409,2020-01-05 18:37:00,2
SERVER_2260,2020-04-16 01:12:00,2
SERVER_13981,2020-03-18 10:50:00,2
SERVER_26707,2020-09-11 22:47:00,0
SERVER_15090,2020-01-22 06:07:00,2
SERVER_3102,2020-02-20 22:58:00,2
SERVER_3004,2020-11-23 12:36:00,2
SERVER_15918,2020-10-23 01:07:00,2
SERVER_15130,2020-01-26 04:50:00,2
SERVER_14396,2020-02-29 17:07:00,2
SERVER_14230,2020-06-21 09:58:00,2
SERVER_14220,2020-03-06 02:36:00,2
SERVER_2501,2019-12-28 06:00:00,2
SERVER_26713,2020-10-01 12:50:00,0
SERVER_4568,2020-07-29 16:30:00,2
SERVER_2074,2020-06-25 00:55:00,2
SERVER_14392,2020-02-26 12:18:00,2
SERVER_15096,2020-04-21 09:04:00,3
SERVER_15696,2019-12-29 15:55:00,2
SERVER_14262,2020-06-21 10:51:00,2
SERVER_7365,2020-02-09 16:13:00,1
SERVER_2606,2020-05-15 03:04:00,2
SERVER_2461,2020-01-25 12:10:00,1
SERVER_7381,2020-09-12 22:52:00,2
SERVER_14451,2020-07-06 06:33:00,2
SERVER_6998,2020-09-24 14:03:00,2
SERVER_15594,2020-03-07 09:02:00,3
SERVER_14338,2020-10-07 22:09:00,3
SERVER_15886,2020-07-04 06:58:00,2
SERVER_2858,2020-01-19 10:02:00,3
SERVER_14948,2020-07-04 05:01:00,2
SERVER_7415,2020-06-02 18:19:00,2
SERVER_7416,2020-05-18 03:57:00,2
SERVER_15564,2020-03-17 16:25:00,2
SERVER_15474,2020-06-21 17:41:00,2
SERVER_2476,2020-03-17 21:54:00,1
SERVER_15022,2020-05-25 02:06:00,1
SERVER_2262,2020-04-02 23:20:00,2
SERVER_1814,2020-05-07 11:44:00,1
SERVER_2706,2020-05-01 09:51:00,1
SERVER_3069,2020-08-29 14:43:00,1
SERVER_15229,2020-02-17 18:18:00,2
SERVER_13962,2020-11-03 09:04:00,2
SERVER_1552,2020-04-17 17:41:00,3
SERVER_14201,2020-10-10 13:04:00,2
SERVER_14947,2020-01-12 15:36:00,3
SERVER_13977,2020-05-18 21:47:00,2
SERVER_15512,2020-07-10 20:40:00,1
SERVER_14927,2020-01-12 15:39:00,3
SERVER_15889,2020-01-23 19:41:00,2
SERVER_14484,2020-05-17 17:50:00,2
SERVER_14348,2019-12-28 01:01:00,2
SERVER_3256,2020-05-07 03:43:00,3
SERVER_2072,2020-03-01 08:09:00,2
SERVER_2016,2020-07-15 21:13:00,2
SERVER_5986,2020-06-24 16:19:00,1
SERVER_1429,2020-11-16 15:00:00,2
SERVER_2263,2020-03-03 21:17:00,2
SERVER_14622,2020-03-04 07:29:00,2
SERVER_2386,2020-02-29 04:45:00,1
SERVER_1496,2020-09-21 19:39:00,2
SERVER_15638,2020-06-29 15:25:00,2
SERVER_14324,2020-06-19 07:21:00,2
SERVER_15248,2020-02-14 19:45:00,2
SERVER_2506,2020-02-16 23:50:00,2
SERVER_1446,2020-09-23 21:52:00,2
SERVER_2282,2020-01-20 14:24:00,2
SERVER_14432,2020-10-08 23:07:00,2
SERVER_3488,2020-06-20 08:41:00,2
SERVER_1534,2020-08-22 15:32:00,2
SERVER_2459,2020-02-27 07:37:00,2
SERVER_2245,2020-01-30 09:38:00,2
SERVER_14920,2020-08-16 14:45:00,1
SERVER_15643,2020-05-29 22:02:00,3
SERVER_2500,2020-03-30 23:04:00,2
SERVER_14572,2020-04-25 09:29:00,2
SERVER_2488,2020-06-03 02:41:00,1
SERVER_2004,2020-05-12 13:40:00,2
SERVER_14803,2020-01-12 15:20:00,3
SERVER_5838,2020-04-13 16:22:00,1
SERVER_1662,2020-06-09 16:16:00,1
SERVER_26704,2020-10-13 02:16:00,0
SERVER_15087,2020-01-25 06:21:00,1
SERVER_3075,2020-07-26 18:02:00,2
SERVER_16628,2020-11-04 05:13:00,2
SERVER_14790,2020-02-23 20:42:00,1
SERVER_2062,2020-09-07 07:36:00,2
SERVER_2898,2020-03-07 12:38:00,2
SERVER_15209,2020-10-17 15:39:00,0
SERVER_15917,2020-03-14 15:14:00,1
SERVER_13980,2020-02-28 19:03:00,2
SERVER_15052,2020-02-01 09:42:00,2
SERVER_4593,2020-07-02 14:45:00,2
SERVER_3446,2020-02-20 18:39:00,3
SERVER_16824,2020-08-28 00:08:00,2
SERVER_2276,2020-09-10 00:57:00,2
SERVER_3007,2020-02-04 06:10:00,2
SERVER_3445,2019-12-29 07:36:00,3
SERVER_15540,2020-04-08 11:55:00,3
SERVER_15498,2020-05-05 05:10:00,2
SERVER_3452,2020-03-13 12:12:00,2
SERVER_3019,2020-05-16 09:08:00,2
SERVER_13994,2020-01-02 02:26:00,2
SERVER_15331,2020-09-07 03:51:00,3
SERVER_3003,2020-11-14 07:28:00,2
SERVER_14411,2019-12-30 14:51:00,2
SERVER_15627,2020-09-01 11:01:00,2
SERVER_15565,2020-03-29 07:53:00,2
SERVER_16493,2020-01-04 08:20:00,2
SERVER_14611,2020-07-11 00:38:00,2
SERVER_15370,2020-04-17 00:14:00,3
SERVER_2155,2020-09-23 04:18:00,2
SERVER_2591,2020-04-29 00:35:00,2
SERVER_15198,2020-05-14 18:45:00,2
SERVER_15815,2020-01-24 21:39:00,2
SERVER_2939,2020-06-21 17:46:00,1
SERVER_2588,2020-07-23 10:34:00,2
SERVER_14544,2020-03-12 12:06:00,2
SERVER_26711,2020-07-05 07:55:00,0
SERVER_15038,2020-07-15 04:15:00,2
SERVER_14614,2020-01-19 00:42:00,2
SERVER_16075,2020-11-21 21:46:00,3
SERVER_14610,2020-07-10 11:05:00,2
SERVER_14605,2020-06-15 06:21:00,2
SERVER_15199,2020-03-02 05:19:00,2
SERVER_15038,2020-03-16 01:54:00,3
SERVER_16078,2019-12-31 17:46:00,3
SERVER_15275,2020-05-18 21:52:00,2
SERVER_7431,2020-03-24 01:28:00,2
SERVER_16858,2020-07-05 20:29:00,2
SERVER_16207,2020-10-18 12:57:00,2
SERVER_3234,2020-06-12 16:24:00,3
SERVER_6635,2020-08-14 16:42:00,1
SERVER_2053,2020-03-10 16:53:00,3
SERVER_2326,2020-09-04 20:06:00,3
SERVER_16181,2020-06-06 03:49:00,1
SERVER_17546,2020-09-26 01:16:00,2
SERVER_14748,2020-04-21 04:34:00,2
SERVER_15182,2020-06-02 07:12:00,3
SERVER_14466,2020-05-30 16:33:00,3
SERVER_14144,2020-09-17 20:07:00,3
SERVER_25735,2020-08-13 16:17:00,0
SERVER_15765,2020-04-22 12:53:00,2
SERVER_14188,2020-09-27 07:39:00,1
SERVER_14606,2020-07-04 16:33:00,3
SERVER_15226,2020-09-08 11:56:00,1
SERVER_2700,2020-07-29 16:03:00,3
