sn,fault_time,msg_feature,server_model
SERVER_1730,2020-02-18 14:18:00,"[[250, 23, 4, 100, 21, 6], [250, 23, 4, 99, 22, 9], [250, 23, 4, 96, 22, 9], [250, 23, 4, 87, 22, 7], [250, 95, 4, 86, 1, 0], [259, 132, 4, 86, 1, 0], [259, 132, 0, 86, 1, 0], [236, 3, 4, 86, 1, 0], [236, 3, 0, 86, 1, 0]]",13
SERVER_15952,2020-07-26 15:40:00,"[[257, 258, 4, 95, 1, 0], [2, 242, 4, 95, 1, 0], [250, 23, 4, 83, 10, 5], [250, 95, 4, 83, 2, 8], [257, 258, 4, 64, 3, 6], [2, 243, 4, 62, 1, 0], [251, 252, 4, 62, 1, 0], [256, 132, 4, 62, 1, 0], [259, 132, 4, 62, 1, 0], [236, 3, 4, 62, 1, 0], [265, 255, 4, 52, 1, 0], [233, 26, 4, 52, 1, 0], [236, 261, 4, 52, 1, 0], [233, 20, 4, 52, 1, 0]]",13
SERVER_2887,2020-03-11 14:22:00,"[[250, 23, 4, 99, 22, 9], [250, 23, 4, 97, 22, 9], [250, 23, 4, 88, 22, 9], [254, 255, 4, 66, 1, 0], [233, 26, 4, 66, 1, 0], [236, 261, 4, 66, 1, 0], [233, 20, 4, 66, 1, 0], [2, 242, 4, 65, 1, 0], [251, 252, 4, 65, 1, 0]]",13
SERVER_1784,2020-11-02 21:31:00,"[[260, 8, 4, 88, 5, 9], [250, 23, 4, 88, 21, 9], [220, 151, 4, 84, 1, 0], [257, 258, 4, 37, 2, 4], [2, 243, 4, 35, 1, 0], [251, 252, 4, 35, 1, 0]]",13
SERVER_2904,2020-09-23 17:46:00,"[[250, 23, 4, 77, 21, 8], [260, 8, 4, 77, 6, 8], [220, 151, 4, 77, 1, 0], [259, 132, 4, 77, 1, 0], [236, 3, 4, 77, 1, 0]]",13
SERVER_26690,2020-05-28 23:31:00,"[[250, 23, 4, 96, 11, 3], [250, 95, 4, 96, 2, 3], [256, 132, 4, 96, 1, 0], [259, 132, 4, 96, 1, 0], [236, 3, 4, 96, 1, 0], [254, 255, 4, 92, 2, 9], [265, 255, 4, 92, 2, 9], [236, 261, 4, 92, 1, 0], [233, 26, 4, 92, 1, 0], [233, 20, 4, 92, 1, 0], [257, 258, 4, 92, 2, 3], [2, 242, 4, 92, 1, 0], [251, 252, 4, 92, 1, 0], [265, 266, 4, 87, 1, 0], [254, 266, 4, 87, 1, 0], [259, 132, 4, 87, 1, 0]]",13
SERVER_25766,2020-05-08 06:11:00,"[[236, 3, 4, 76, 1, 0], [236, 3, 0, 76, 1, 0], [259, 132, 0, 76, 1, 0], [259, 132, 4, 76, 1, 0]]",13
SERVER_1876,2020-02-05 20:49:00,"[[250, 23, 4, 87, 22, 8], [251, 252, 4, 87, 3, 8], [233, 26, 4, 87, 1, 0], [254, 255, 0, 87, 1, 0], [233, 20, 4, 87, 1, 0], [250, 95, 4, 81, 2, 5], [250, 239, 4, 81, 1, 0], [2, 243, 4, 81, 1, 0], [259, 132, 0, 81, 1, 0], [259, 132, 4, 81, 1, 0], [236, 3, 0, 81, 1, 0], [236, 3, 4, 81, 1, 0]]",13
SERVER_2492,2020-11-14 01:25:00,"[[250, 23, 4, 100, 22, 7], [250, 23, 4, 71, 22, 7], [233, 26, 4, 43, 1, 0], [236, 261, 4, 43, 1, 0], [233, 20, 4, 42, 1, 0], [257, 258, 4, 42, 2, 3], [2, 242, 4, 41, 1, 0], [251, 252, 4, 41, 1, 0]]",13
SERVER_14900,2020-09-24 19:45:00,"[[220, 152, 4, 83, 1, 0], [250, 23, 4, 82, 7, 2], [236, 3, 4, 82, 3, 8], [259, 132, 4, 82, 8, 8], [265, 255, 4, 73, 2, 7], [233, 26, 4, 73, 2, 7], [236, 261, 4, 73, 2, 7], [233, 20, 4, 73, 2, 7]]",13
SERVER_1746,2020-02-01 16:48:00,"[[250, 23, 4, 81, 20, 6], [250, 95, 4, 81, 3, 6], [2, 243, 4, 81, 1, 0], [233, 26, 4, 81, 3, 6], [222, 3, 4, 81, 7, 6], [222, 3, 0, 81, 7, 6], [233, 20, 4, 81, 1, 0], [257, 258, 4, 80, 1, 0], [2, 242, 4, 80, 1, 0], [259, 132, 0, 80, 1, 0], [259, 132, 4, 80, 1, 0], [236, 3, 0, 80, 1, 0], [236, 3, 4, 80, 1, 0], [236, 261, 0, 80, 1, 0], [236, 261, 4, 80, 1, 0], [254, 255, 0, 80, 1, 0], [265, 255, 4, 80, 1, 0]]",13
SERVER_25733,2020-05-22 17:13:00,"[[250, 23, 4, 100, 12, 7], [257, 258, 4, 97, 4, 7], [2, 243, 4, 97, 6, 7], [251, 252, 4, 97, 6, 7], [250, 95, 4, 97, 5, 6], [259, 132, 4, 96, 1, 0], [236, 3, 4, 96, 1, 0], [233, 26, 4, 72, 1, 0], [236, 261, 4, 72, 1, 0], [254, 255, 4, 72, 1, 0]]",13
SERVER_14954,2020-09-20 20:25:00,"[[257, 258, 4, 97, 2, 3], [2, 243, 4, 97, 2, 7], [251, 252, 4, 97, 2, 7], [233, 26, 4, 69, 2, 6], [233, 20, 4, 69, 2, 6], [2, 242, 4, 68, 2, 6], [251, 252, 4, 68, 2, 6], [236, 3, 4, 67, 1, 0], [236, 261, 4, 60, 1, 0]]",13
SERVER_26703,2020-09-13 13:20:00,"[[257, 258, 4, 78, 2, 2], [2, 243, 4, 78, 12, 7], [251, 252, 4, 78, 12, 7], [233, 26, 4, 74, 2, 3], [233, 20, 4, 74, 2, 3], [2, 242, 4, 74, 1, 0], [260, 8, 4, 74, 11, 7]]",13
SERVER_26724,2020-10-20 03:24:00,"[[236, 3, 4, 47, 1, 0], [257, 258, 4, 33, 2, 4], [236, 261, 4, 33, 1, 0], [233, 26, 4, 33, 1, 0], [233, 20, 4, 32, 1, 0], [2, 242, 4, 32, 1, 0], [251, 252, 4, 32, 1, 0]]",13
SERVER_15100,2020-09-02 19:42:00,"[[250, 23, 4, 79, 7, 3], [260, 8, 4, 79, 4, 4], [256, 132, 4, 79, 1, 0], [256, 132, 0, 79, 1, 0], [259, 132, 0, 79, 1, 0], [259, 132, 4, 79, 1, 0], [236, 3, 0, 79, 1, 0], [236, 3, 4, 79, 1, 0]]",13
SERVER_3651,2020-01-19 21:47:00,"[[250, 23, 4, 84, 19, 5], [250, 95, 4, 84, 2, 5], [259, 132, 0, 84, 1, 0], [259, 132, 4, 84, 1, 0], [236, 3, 4, 84, 1, 0], [236, 3, 0, 84, 1, 0]]",13
SERVER_14603,2020-01-29 07:42:00,"[[250, 23, 4, 78, 11, 3], [250, 95, 4, 78, 2, 3], [236, 3, 0, 78, 1, 0], [236, 3, 4, 78, 1, 0]]",13
SERVER_25734,2020-10-03 11:57:00,"[[250, 23, 4, 98, 10, 9], [250, 23, 4, 92, 10, 9], [250, 23, 4, 80, 2, 7], [236, 261, 4, 68, 1, 0], [233, 26, 4, 68, 1, 0], [233, 20, 4, 68, 1, 0], [257, 258, 4, 68, 2, 3], [2, 242, 4, 67, 1, 0], [251, 252, 4, 67, 1, 0]]",13
SERVER_14334,2020-06-16 13:38:00,"[[257, 258, 4, 72, 2, 3], [259, 132, 4, 72, 1, 0], [259, 132, 0, 72, 1, 0], [236, 3, 4, 72, 2, 6], [236, 3, 0, 72, 2, 6], [262, 263, 4, 70, 1, 0], [236, 261, 0, 70, 2, 6], [236, 261, 4, 70, 2, 6], [254, 255, 4, 65, 1, 0], [254, 255, 0, 65, 1, 0], [233, 26, 4, 65, 1, 0], [233, 20, 4, 65, 1, 0], [2, 242, 4, 62, 1, 0], [251, 252, 4, 62, 1, 0]]",13
SERVER_17432,2020-08-17 12:18:00,"[[250, 23, 4, 96, 12, 3], [250, 95, 4, 96, 2, 3], [236, 3, 4, 96, 1, 0], [233, 26, 4, 87, 1, 0], [236, 261, 4, 87, 1, 0]]",13
SERVER_25745,2020-05-24 03:57:00,"[[260, 8, 4, 65, 1, 0], [259, 132, 4, 65, 1, 0], [236, 3, 4, 65, 1, 0], [256, 132, 4, 64, 1, 0], [236, 261, 4, 63, 1, 0], [233, 26, 4, 63, 1, 0], [254, 255, 4, 63, 1, 0], [265, 255, 4, 63, 1, 0], [233, 20, 4, 61, 1, 0], [257, 258, 4, 61, 2, 2], [2, 242, 4, 59, 1, 0], [251, 252, 4, 59, 1, 0]]",13
SERVER_2467,2020-05-01 06:11:00,"[[250, 23, 4, 78, 4, 2], [260, 8, 4, 78, 3, 1], [259, 132, 4, 78, 1, 0], [236, 3, 4, 78, 1, 0], [256, 132, 4, 78, 1, 0]]",13
SERVER_1767,2020-01-30 18:18:00,"[[257, 258, 4, 87, 2, 8], [2, 242, 4, 87, 2, 8], [251, 252, 4, 87, 2, 8], [250, 23, 4, 87, 10, 3], [250, 95, 4, 87, 1, 0], [259, 132, 4, 87, 1, 0], [259, 132, 0, 87, 1, 0], [236, 3, 0, 87, 1, 0], [236, 3, 4, 87, 1, 0], [236, 261, 4, 87, 1, 0], [233, 26, 4, 87, 1, 0], [236, 261, 0, 87, 1, 0]]",13
SERVER_15929,2020-05-23 17:52:00,"[[222, 3, 4, 83, 3, 3], [233, 26, 4, 83, 1, 0], [265, 255, 4, 83, 1, 0], [233, 20, 4, 82, 1, 0], [2, 242, 4, 82, 1, 0], [251, 252, 4, 82, 2, 8], [220, 152, 4, 71, 1, 0], [260, 8, 4, 62, 1, 0], [2, 243, 4, 60, 1, 0]]",13
SERVER_1830,2020-04-14 01:45:00,"[[260, 8, 4, 66, 1, 0], [257, 258, 4, 61, 2, 3], [2, 243, 4, 60, 1, 0], [251, 252, 4, 60, 1, 0]]",13
SERVER_26714,2020-05-10 13:19:00,"[[233, 26, 4, 77, 1, 0], [254, 255, 0, 77, 1, 0], [254, 255, 4, 77, 1, 0], [233, 20, 4, 76, 1, 0], [257, 258, 4, 76, 2, 2], [2, 242, 4, 76, 1, 0], [251, 252, 4, 76, 1, 0], [259, 132, 0, 76, 1, 0], [259, 132, 4, 76, 1, 0], [236, 3, 0, 76, 1, 0], [236, 3, 4, 76, 1, 0]]",13
SERVER_14380,2020-01-21 18:49:00,"[[236, 3, 0, 77, 1, 0], [236, 3, 4, 77, 1, 0], [265, 255, 4, 49, 1, 0], [236, 261, 4, 49, 1, 0], [259, 132, 4, 49, 1, 0], [233, 26, 4, 49, 1, 0], [233, 20, 4, 49, 1, 0], [257, 258, 4, 49, 2, 3], [2, 242, 4, 48, 1, 0], [251, 252, 4, 48, 1, 0], [220, 152, 4, 34, 1, 0]]",13
SERVER_15418,2020-03-05 15:38:00,"[[256, 132, 4, 98, 1, 0], [259, 132, 4, 98, 1, 0], [236, 3, 4, 98, 1, 0], [254, 255, 4, 90, 1, 0], [265, 255, 4, 90, 1, 0], [233, 26, 4, 90, 1, 0], [236, 261, 4, 90, 1, 0], [233, 20, 4, 90, 1, 0], [2, 242, 4, 90, 1, 0], [251, 252, 4, 90, 1, 0], [282, 189, 4, 88, 1, 0], [282, 189, 9, 88, 1, 0], [2, 243, 4, 60, 1, 0], [251, 252, 4, 60, 1, 0]]",13
SERVER_26706,2020-08-28 09:52:00,"[[260, 8, 4, 64, 1, 0], [257, 258, 4, 60, 2, 3], [2, 243, 4, 59, 1, 0], [251, 252, 4, 59, 1, 0]]",13
SERVER_26694,2020-10-18 13:17:00,"[[260, 8, 4, 38, 1, 0], [257, 258, 4, 37, 2, 4], [2, 243, 4, 36, 1, 0], [251, 252, 4, 36, 1, 0]]",13
SERVER_26039,2020-08-13 03:29:00,"[[259, 132, 4, 71, 1, 0], [236, 3, 4, 71, 1, 0], [265, 255, 4, 65, 1, 0], [233, 20, 4, 65, 1, 0], [233, 26, 4, 65, 1, 0], [236, 261, 4, 65, 1, 0], [5, 13, 4, 65, 1, 0], [271, 13, 4, 65, 1, 0], [2, 242, 4, 60, 1, 0]]",13
SERVER_26693,2020-11-03 22:11:00,"[[260, 8, 4, 91, 1, 0], [257, 258, 4, 91, 2, 3], [2, 243, 4, 91, 1, 0], [251, 252, 4, 91, 1, 0]]",13
SERVER_25812,2020-01-31 15:39:00,"[[260, 8, 4, 69, 1, 0], [257, 258, 4, 68, 2, 3], [2, 243, 4, 68, 1, 0], [251, 252, 4, 68, 1, 0]]",13
SERVER_25732,2020-05-15 18:24:00,"[[254, 255, 0, 23, 2, 1], [265, 255, 4, 23, 2, 1], [254, 255, 4, 23, 2, 1], [233, 26, 4, 23, 1, 0], [214, 13, 4, 22, 2, 5], [207, 13, 4, 22, 2, 5], [238, 131, 4, 22, 2, 5], [238, 131, 0, 22, 2, 5], [240, 131, 4, 22, 2, 5], [233, 20, 4, 12, 1, 0], [5, 163, 4, 11, 1, 0], [257, 258, 4, 10, 2, 2], [2, 242, 4, 9, 1, 0], [251, 252, 4, 8, 1, 0]]",13
SERVER_15291,2020-11-12 18:19:00,"[[236, 3, 4, 50, 1, 0], [233, 26, 4, 35, 1, 0], [236, 261, 4, 35, 1, 0], [259, 132, 4, 34, 1, 0], [233, 20, 4, 34, 1, 0], [257, 258, 4, 34, 2, 2], [2, 242, 4, 32, 1, 0], [251, 252, 4, 32, 1, 0]]",13
SERVER_2616,2020-08-14 15:55:00,"[[214, 42, 4, 90, 1, 0], [214, 42, 9, 90, 1, 0], [260, 8, 4, 67, 3, 3], [250, 23, 4, 67, 2, 2], [257, 258, 4, 66, 2, 3], [2, 243, 4, 66, 1, 0], [251, 252, 4, 66, 1, 0]]",13
SERVER_25733,2020-06-02 18:50:00,"[[222, 3, 4, 77, 2, 2], [233, 26, 4, 77, 1, 0], [236, 261, 4, 77, 1, 0], [254, 255, 4, 77, 1, 0], [257, 258, 4, 57, 1, 0], [2, 242, 4, 56, 1, 0], [251, 252, 4, 56, 1, 0]]",13
SERVER_1784,2020-11-05 16:59:00,"[[257, 258, 4, 91, 1, 0], [2, 242, 4, 91, 2, 5], [251, 252, 4, 91, 2, 5], [254, 255, 4, 91, 1, 0], [254, 255, 0, 91, 1, 0], [265, 255, 4, 91, 1, 0], [233, 26, 4, 91, 1, 0], [233, 20, 4, 91, 1, 0]]",13
SERVER_2285,2020-03-24 15:41:00,"[[259, 132, 4, 79, 1, 0], [236, 3, 4, 79, 1, 0]]",13
