sn,fault_time,venus_feature
SERVER_15929,2020-05-23 17:52:00,"[[0, 0, 0, 0]]"
SERVER_1830,2020-04-14 01:45:00,"[[0, 0, 0, 0]]"
SERVER_26714,2020-05-10 13:19:00,"[[0, 0, 0, 0]]"
SERVER_14380,2020-01-21 18:49:00,"[[0, 0, 0, 0]]"
SERVER_15418,2020-03-05 15:38:00,"[[0, 0, 0, 0]]"
SERVER_26706,2020-08-28 09:52:00,"[[0, 0, 0, 0]]"
SERVER_26694,2020-10-18 13:17:00,"[[0, 0, 0, 0]]"
SERVER_26039,2020-08-13 03:29:00,"[[0, 0, 0, 0]]"
SERVER_26693,2020-11-03 22:11:00,"[[0, 0, 0, 0]]"
SERVER_25812,2020-01-31 15:39:00,"[[0, 0, 0, 0]]"
SERVER_25732,2020-05-15 18:24:00,"[[0, 0, 0, 0]]"
SERVER_15291,2020-11-12 18:19:00,"[[0, 0, 0, 0]]"
SERVER_2616,2020-08-14 15:55:00,"[[0, 0, 0, 0]]"
SERVER_25733,2020-06-02 18:50:00,"[[0, 0, 0, 0]]"
SERVER_1784,2020-11-05 16:59:00,"[[0, 0, 0, 0]]"
SERVER_2285,2020-03-24 15:41:00,"[[0, 0, 0, 0]]"
SERVER_26705,2020-01-15 19:57:00,"[[0, 0, 0, 0]]"
SERVER_26723,2020-06-11 20:53:00,"[[0, 0, 0, 0]]"
SERVER_25760,2020-06-29 09:08:00,"[[0, 0, 0, 0]]"
SERVER_14530,2020-05-30 14:44:00,"[[0, 0, 0, 0]]"
SERVER_25824,2020-05-11 18:23:00,"[[0, 0, 0, 0]]"
SERVER_25728,2020-04-17 11:43:00,"[[0, 0, 0, 0]]"
SERVER_26696,2020-04-01 05:10:00,"[[0, 0, 0, 0]]"
SERVER_25796,2020-06-12 08:57:00,"[[0, 0, 0, 0]]"
SERVER_3477,2020-06-03 19:06:00,"[[0, 0, 0, 0]]"
SERVER_25731,2020-09-23 12:05:00,"[[0, 0, 0, 0]]"
SERVER_26699,2020-10-07 12:33:00,"[[8, 9, 10, 11]]"
SERVER_26695,2020-09-27 13:54:00,"[[0, 0, 0, 0]]"
SERVER_26727,2020-05-06 13:22:00,"[[0, 0, 0, 0]]"
SERVER_14578,2020-07-07 22:41:00,"[[0, 0, 0, 0]]"
SERVER_2574,2020-08-08 01:12:00,"[[0, 0, 0, 0]]"
SERVER_14405,2020-10-03 01:52:00,"[[12, 9, 10, 13]]"
SERVER_2286,2020-05-07 15:32:00,"[[0, 0, 0, 0]]"
SERVER_14979,2020-04-03 07:12:00,"[[0, 0, 0, 0]]"
SERVER_26745,2020-05-23 16:47:00,"[[0, 0, 0, 0]]"
SERVER_26717,2020-09-03 15:49:00,"[[0, 0, 0, 0]]"
SERVER_2159,2020-03-29 09:03:00,"[[0, 0, 0, 0]]"
SERVER_26818,2020-09-23 11:51:00,"[[0, 0, 0, 0]]"
SERVER_16919,2020-07-15 15:41:00,"[[0, 0, 0, 0]]"
SERVER_26030,2020-05-16 17:44:00,"[[0, 0, 0, 0]]"
SERVER_26715,2020-07-04 04:38:00,"[[0, 0, 0, 0]]"
SERVER_26846,2020-09-09 15:23:00,"[[0, 0, 0, 0]]"
SERVER_26726,2020-02-05 10:11:00,"[[0, 0, 0, 0]]"
SERVER_26778,2020-01-21 03:14:00,"[[0, 0, 0, 0]]"
SERVER_7154,2020-06-01 18:44:00,"[[0, 0, 0, 0]]"
SERVER_6967,2020-07-26 07:56:00,"[[0, 0, 0, 0]]"
SERVER_26744,2020-05-30 02:17:00,"[[0, 0, 0, 0]]"
SERVER_25762,2020-02-20 11:58:00,"[[0, 0, 0, 0]]"
SERVER_15062,2020-03-17 05:12:00,"[[0, 0, 0, 0]]"
SERVER_26805,2020-02-21 15:16:00,"[[0, 0, 0, 0]]"
SERVER_26689,2020-06-19 18:24:00,"[[0, 0, 0, 0]]"
SERVER_26710,2020-06-19 18:10:00,"[[0, 0, 0, 0]]"
SERVER_17377,2020-11-14 08:09:00,"[[8, 14, 10, 15]]"
SERVER_15758,2020-05-14 10:15:00,"[[0, 0, 0, 0]]"
SERVER_5815,2020-04-27 12:00:00,"[[0, 0, 0, 0]]"
SERVER_25751,2020-05-21 18:22:00,"[[0, 0, 0, 0]]"
SERVER_5316,2020-06-03 02:32:00,"[[0, 0, 0, 0]]"
SERVER_25752,2020-05-16 14:19:00,"[[0, 0, 0, 0]]"
SERVER_26735,2020-11-02 01:16:00,"[[0, 0, 0, 0]]"
SERVER_2866,2020-09-18 18:16:00,"[[2, 3, 4, 16]]"
SERVER_7460,2020-01-09 12:39:00,"[[0, 0, 0, 0]]"
SERVER_25787,2020-11-25 15:10:00,"[[0, 0, 0, 0]]"
SERVER_25834,2020-06-04 02:13:00,"[[0, 0, 0, 0]]"
SERVER_26820,2020-02-04 22:57:00,"[[0, 0, 0, 0]]"
SERVER_26823,2020-01-16 01:27:00,"[[0, 0, 0, 0]]"
SERVER_25998,2019-12-29 15:56:00,"[[0, 0, 0, 0]]"
SERVER_25861,2020-08-15 18:13:00,"[[0, 0, 0, 0]]"
SERVER_2874,2020-01-31 10:40:00,"[[0, 0, 0, 0]]"
SERVER_3677,2020-01-13 08:16:00,"[[0, 0, 0, 0]]"
SERVER_25743,2020-01-23 22:42:00,"[[0, 0, 0, 0]]"
SERVER_25799,2020-06-16 15:31:00,"[[0, 0, 0, 0]]"
SERVER_25784,2020-07-29 12:31:00,"[[0, 0, 0, 0]]"
SERVER_25988,2020-02-16 19:35:00,"[[0, 0, 0, 0]]"
SERVER_4499,2020-03-12 15:40:00,"[[0, 0, 0, 0]]"
SERVER_25990,2020-02-13 18:58:00,"[[0, 0, 0, 0]]"
SERVER_25793,2020-04-21 20:41:00,"[[0, 0, 0, 0]]"
SERVER_4501,2020-03-21 18:41:00,"[[0, 0, 0, 0]]"
SERVER_25991,2020-07-24 08:00:00,"[[0, 0, 0, 0]]"
SERVER_25992,2020-08-09 22:24:00,"[[0, 0, 0, 0]]"
SERVER_26842,2020-06-26 06:08:00,"[[0, 0, 0, 0]]"
SERVER_25987,2020-08-16 23:06:00,"[[0, 0, 0, 0]]"
SERVER_17427,2020-07-24 19:00:00,"[[0, 0, 0, 0]]"
SERVER_26842,2020-06-21 21:03:00,"[[0, 0, 0, 0]]"
SERVER_26842,2020-10-02 16:42:00,"[[0, 0, 0, 0]]"
SERVER_23025,2020-08-27 08:40:00,"[[0, 0, 0, 0]]"
SERVER_23002,2020-09-17 12:36:00,"[[2, 3, 4, 18], [8, 14, 10, 19]]"
SERVER_6046,2020-03-18 19:28:00,"[[0, 0, 0, 0]]"
SERVER_26205,2020-10-06 14:07:00,"[[2, 3, 4, 20]]"
SERVER_17209,2020-07-29 15:39:00,"[[0, 0, 0, 0]]"
SERVER_26833,2020-07-07 10:58:00,"[[0, 0, 0, 0]]"
SERVER_16052,2020-02-12 12:29:00,"[[0, 0, 0, 0]]"
SERVER_5119,2020-03-02 12:30:00,"[[0, 0, 0, 0]]"
SERVER_25821,2020-03-11 01:45:00,"[[0, 0, 0, 0]]"
SERVER_16700,2020-07-16 14:25:00,"[[0, 0, 0, 0]]"
SERVER_17470,2020-11-11 13:06:00,"[[2, 3, 4, 21], [12, 14, 10, 22]]"
SERVER_4902,2020-01-03 03:37:00,"[[0, 0, 0, 0]]"
SERVER_25841,2020-05-21 17:23:00,"[[0, 0, 0, 0]]"
SERVER_6302,2020-11-24 13:34:00,"[[0, 0, 0, 0]]"
SERVER_26090,2020-08-08 22:11:00,"[[0, 0, 0, 0]]"
SERVER_6453,2020-10-15 07:04:00,"[[2, 3, 4, 23]]"
SERVER_5853,2020-07-12 15:19:00,"[[0, 0, 0, 0]]"
SERVER_7151,2020-05-20 18:24:00,"[[0, 0, 0, 0]]"
SERVER_16476,2020-07-20 18:44:00,"[[0, 0, 0, 0]]"
SERVER_23107,2020-09-10 14:13:00,"[[2, 3, 4, 24], [12, 25, 10, 26]]"
SERVER_25822,2020-04-14 22:46:00,"[[0, 0, 0, 0]]"
SERVER_16624,2020-04-18 11:52:00,"[[0, 0, 0, 0]]"
SERVER_4801,2020-04-14 15:10:00,"[[0, 0, 0, 0]]"
SERVER_16804,2020-05-16 11:08:00,"[[0, 0, 0, 0]]"
SERVER_4758,2020-04-25 15:50:00,"[[0, 0, 0, 0]]"
SERVER_4556,2020-09-10 08:10:00,"[[2, 3, 4, 27]]"
SERVER_5934,2020-04-15 08:51:00,"[[0, 0, 0, 0]]"
SERVER_16947,2020-10-06 17:01:00,"[[2, 3, 4, 28]]"
SERVER_25747,2020-01-24 16:33:00,"[[0, 0, 0, 0]]"
SERVER_26086,2020-07-07 04:08:00,"[[0, 0, 0, 0]]"
SERVER_25851,2020-03-13 12:01:00,"[[0, 0, 0, 0]]"
SERVER_25997,2020-10-20 11:02:00,"[[40, 41, 42, 43]]"
SERVER_26014,2020-03-09 22:16:00,"[[0, 0, 0, 0]]"
SERVER_17318,2020-06-12 15:41:00,"[[0, 0, 0, 0]]"
SERVER_26849,2020-07-23 15:57:00,"[[0, 0, 0, 0]]"
SERVER_3653,2020-09-11 10:23:00,"[[0, 0, 0, 0]]"
SERVER_17187,2020-11-08 05:10:00,"[[2, 3, 4, 44], [12, 14, 10, 44]]"
SERVER_4882,2020-04-14 18:34:00,"[[0, 0, 0, 0]]"
SERVER_3312,2020-11-17 13:21:00,"[[0, 0, 0, 0]]"
SERVER_26765,2020-04-25 12:44:00,"[[0, 0, 0, 0]]"
SERVER_26812,2020-04-10 17:51:00,"[[0, 0, 0, 0]]"
SERVER_5054,2020-10-14 15:11:00,"[[0, 0, 0, 0]]"
SERVER_25815,2020-02-25 16:19:00,"[[0, 0, 0, 0]]"
SERVER_7166,2020-07-01 17:37:00,"[[0, 0, 0, 0]]"
SERVER_5907,2020-10-13 23:16:00,"[[2, 3, 4, 5], [12, 14, 10, 46]]"
SERVER_25860,2020-11-06 14:52:00,"[[0, 0, 0, 0]]"
SERVER_26848,2020-07-26 16:21:00,"[[0, 0, 0, 0]]"
SERVER_16328,2020-06-25 17:45:00,"[[0, 0, 0, 0]]"
SERVER_25958,2020-04-23 12:57:00,"[[0, 0, 0, 0]]"
SERVER_26015,2020-05-13 19:43:00,"[[0, 0, 0, 0]]"
SERVER_26018,2020-11-15 03:47:00,"[[0, 0, 0, 0]]"
SERVER_26006,2020-01-11 15:54:00,"[[0, 0, 0, 0]]"
SERVER_5249,2020-10-15 05:13:00,"[[0, 0, 0, 0]]"
SERVER_5872,2020-08-25 15:41:00,"[[0, 0, 0, 0]]"
SERVER_25789,2020-10-16 10:24:00,"[[47, 48, 0, 0], [49, 50, 51, 52]]"
SERVER_26814,2020-03-22 08:49:00,"[[0, 0, 0, 0]]"
SERVER_26854,2020-08-19 14:28:00,"[[0, 0, 0, 0]]"
SERVER_26730,2020-11-06 12:18:00,"[[0, 0, 0, 0]]"
SERVER_16591,2020-08-10 20:18:00,"[[0, 0, 0, 0]]"
SERVER_26768,2020-09-22 22:46:00,"[[0, 0, 0, 0]]"
SERVER_26747,2020-03-03 20:53:00,"[[0, 0, 0, 0]]"
SERVER_25939,2020-02-09 14:03:00,"[[0, 0, 0, 0]]"
SERVER_25862,2020-01-31 12:25:00,"[[0, 0, 0, 0]]"
SERVER_25938,2020-08-18 15:07:00,"[[0, 0, 0, 0]]"
SERVER_26760,2020-09-21 22:25:00,"[[40, 53, 54, 5]]"
SERVER_25940,2020-08-27 13:09:00,"[[0, 0, 0, 0]]"
SERVER_5305,2020-04-24 02:59:00,"[[0, 0, 0, 0]]"
SERVER_5911,2020-10-28 07:10:00,"[[0, 0, 0, 0]]"
SERVER_26808,2020-04-30 21:48:00,"[[0, 0, 0, 0]]"
SERVER_25985,2020-09-19 16:13:00,"[[0, 0, 0, 0]]"
SERVER_7434,2020-06-16 07:19:00,"[[0, 0, 0, 0]]"
SERVER_25814,2020-06-04 11:33:00,"[[0, 0, 0, 0]]"
SERVER_25832,2020-01-16 19:37:00,"[[0, 0, 0, 0]]"
SERVER_16622,2020-06-12 03:42:00,"[[0, 0, 0, 0]]"
SERVER_16061,2020-07-20 01:40:00,"[[0, 0, 0, 0]]"
SERVER_25763,2020-06-26 15:32:00,"[[0, 0, 0, 0]]"
SERVER_2905,2020-04-22 18:28:00,"[[0, 0, 0, 0]]"
SERVER_26016,2020-09-12 11:54:00,"[[40, 53, 55, 5]]"
SERVER_16598,2020-03-06 14:53:00,"[[0, 0, 0, 0]]"
SERVER_26769,2020-07-13 22:41:00,"[[0, 0, 0, 0]]"
SERVER_25800,2020-05-09 22:57:00,"[[0, 0, 0, 0]]"
SERVER_26214,2020-10-04 13:34:00,"[[0, 0, 0, 0]]"
SERVER_4714,2020-01-21 14:45:00,"[[0, 0, 0, 0]]"
SERVER_26004,2020-05-18 13:21:00,"[[0, 0, 0, 0]]"
SERVER_25863,2020-03-29 06:04:00,"[[0, 0, 0, 0]]"
SERVER_25944,2020-06-17 14:37:00,"[[0, 0, 0, 0]]"
SERVER_26792,2020-10-17 12:42:00,"[[40, 53, 57, 5]]"
SERVER_26782,2020-04-14 17:48:00,"[[0, 0, 0, 0]]"
SERVER_25986,2020-07-07 20:39:00,"[[0, 0, 0, 0]]"
SERVER_26740,2020-03-10 19:17:00,"[[0, 0, 0, 0]]"
SERVER_26017,2020-11-10 09:41:00,"[[0, 0, 0, 0]]"
SERVER_25820,2020-09-03 16:18:00,"[[2, 58, 59, 60]]"
SERVER_25884,2020-02-01 13:40:00,"[[0, 0, 0, 0]]"
SERVER_27420,2020-08-09 10:21:00,"[[0, 0, 0, 0]]"
SERVER_27472,2020-11-07 12:26:00,"[[0, 0, 0, 0]]"
SERVER_25961,2020-05-17 17:04:00,"[[0, 0, 0, 0]]"
SERVER_25808,2020-06-07 13:49:00,"[[0, 0, 0, 0]]"
SERVER_5906,2020-03-22 01:15:00,"[[0, 0, 0, 0]]"
SERVER_25964,2020-07-05 12:48:00,"[[0, 0, 0, 0]]"
SERVER_26802,2020-05-19 10:54:00,"[[0, 0, 0, 0]]"
SERVER_25959,2020-08-13 00:42:00,"[[0, 0, 0, 0]]"
SERVER_26743,2020-09-23 02:27:00,"[[0, 0, 0, 0]]"
SERVER_4855,2020-04-14 20:47:00,"[[0, 0, 0, 0]]"
SERVER_5056,2020-09-10 01:46:00,"[[0, 0, 0, 0]]"
SERVER_16032,2020-08-01 03:52:00,"[[0, 0, 0, 0]]"
SERVER_25832,2020-03-26 14:18:00,"[[0, 0, 0, 0]]"
SERVER_4679,2020-05-08 20:01:00,"[[0, 0, 0, 0]]"
SERVER_16635,2020-05-06 17:54:00,"[[0, 0, 0, 0]]"
SERVER_6102,2020-10-10 07:37:00,"[[40, 41, 42, 61]]"
SERVER_25749,2020-03-22 18:31:00,"[[0, 0, 0, 0]]"
SERVER_3037,2020-08-03 02:28:00,"[[0, 0, 0, 0]]"
SERVER_3499,2020-05-09 09:10:00,"[[0, 0, 0, 0]]"
SERVER_7063,2020-04-18 14:00:00,"[[0, 0, 0, 0]]"
SERVER_26873,2020-09-13 20:44:00,"[[62, 63, 64, 65]]"
SERVER_15311,2020-10-02 09:36:00,"[[0, 0, 0, 0]]"
SERVER_25753,2020-11-21 17:40:00,"[[0, 0, 0, 0]]"
SERVER_17014,2020-09-18 21:57:00,"[[0, 0, 0, 0]]"
SERVER_15613,2020-10-23 21:04:00,"[[0, 0, 0, 0]]"
SERVER_25754,2020-11-13 19:58:00,"[[0, 0, 0, 0]]"
SERVER_26719,2020-09-10 20:49:00,"[[2, 58, 59, 69]]"
SERVER_25756,2020-10-27 10:40:00,"[[66, 67, 70, 5]]"
SERVER_25785,2020-10-07 11:15:00,"[[0, 0, 0, 0]]"
SERVER_26721,2020-10-14 08:40:00,"[[0, 0, 0, 0]]"
SERVER_17248,2020-09-22 14:48:00,"[[0, 0, 0, 0]]"
SERVER_5018,2020-08-28 21:09:00,"[[0, 0, 0, 0]]"
SERVER_15613,2020-09-20 14:15:00,"[[0, 0, 0, 0]]"
SERVER_25817,2020-01-29 20:12:00,"[[0, 0, 0, 0]]"
SERVER_25772,2020-05-23 22:47:00,"[[0, 0, 0, 0]]"
SERVER_6010,2020-08-24 21:35:00,"[[0, 0, 0, 0]]"
SERVER_26819,2020-01-22 22:41:00,"[[0, 0, 0, 0]]"
SERVER_26107,2020-04-26 04:54:00,"[[0, 0, 0, 0]]"
SERVER_26116,2020-08-06 17:04:00,"[[0, 0, 0, 0]]"
SERVER_26146,2020-07-11 06:13:00,"[[0, 0, 0, 0]]"
SERVER_26120,2020-07-03 15:48:00,"[[0, 0, 0, 0]]"
SERVER_25790,2020-05-14 21:21:00,"[[0, 0, 0, 0]]"
SERVER_26023,2020-08-19 14:43:00,"[[0, 0, 0, 0]]"
SERVER_6724,2020-06-08 12:25:00,"[[0, 0, 0, 0]]"
SERVER_16984,2020-07-03 21:41:00,"[[0, 0, 0, 0]]"
SERVER_26112,2020-08-19 21:17:00,"[[0, 0, 0, 0]]"
SERVER_26105,2020-04-25 04:55:00,"[[0, 0, 0, 0]]"
SERVER_25818,2020-04-15 19:23:00,"[[0, 0, 0, 0]]"
SERVER_26021,2020-07-17 09:51:00,"[[0, 0, 0, 0]]"
SERVER_26803,2020-09-10 13:08:00,"[[0, 0, 0, 0]]"
SERVER_26824,2020-07-31 17:18:00,"[[0, 0, 0, 0]]"
SERVER_26119,2020-06-03 06:01:00,"[[0, 0, 0, 0]]"
SERVER_26111,2020-07-28 12:52:00,"[[0, 0, 0, 0]]"
SERVER_26887,2020-10-04 12:15:00,"[[0, 0, 0, 0]]"
SERVER_7262,2020-07-11 04:54:00,"[[0, 0, 0, 0]]"
SERVER_7187,2020-06-08 15:48:00,"[[0, 0, 0, 0]]"
SERVER_17057,2020-09-21 12:02:00,"[[0, 0, 0, 0]]"
SERVER_17265,2020-06-05 19:17:00,"[[0, 0, 0, 0]]"
SERVER_17351,2020-10-03 16:22:00,"[[0, 0, 0, 0]]"
SERVER_25840,2020-08-13 10:53:00,"[[0, 0, 0, 0]]"
SERVER_17273,2020-10-24 00:30:00,"[[0, 0, 0, 0]]"
SERVER_25839,2020-10-22 14:45:00,"[[71, 50, 51, 72]]"
SERVER_26839,2020-06-13 04:52:00,"[[0, 0, 0, 0]]"
SERVER_5524,2020-04-24 12:31:00,"[[0, 0, 0, 0]]"
SERVER_26839,2020-09-29 03:39:00,"[[0, 0, 0, 0]]"
SERVER_26839,2020-09-22 09:56:00,"[[0, 0, 0, 0]]"
SERVER_5524,2020-03-27 13:29:00,"[[0, 0, 0, 0]]"
SERVER_26898,2020-05-31 18:40:00,"[[0, 0, 0, 0]]"
SERVER_17723,2020-06-30 01:14:00,"[[0, 0, 0, 0]]"
SERVER_26899,2020-08-08 20:04:00,"[[0, 0, 0, 0]]"
SERVER_25819,2020-10-04 17:23:00,"[[0, 0, 0, 0]]"
SERVER_26903,2020-11-15 02:56:00,"[[77, 78, 4, 79], [8, 14, 80, 81]]"
SERVER_25805,2020-04-21 22:08:00,"[[0, 0, 0, 0]]"
SERVER_25827,2020-04-03 15:15:00,"[[0, 0, 0, 0]]"
SERVER_25924,2020-01-26 11:15:00,"[[0, 0, 0, 0]]"
SERVER_5136,2020-02-27 10:42:00,"[[0, 0, 0, 0]]"
SERVER_5686,2020-07-09 15:36:00,"[[0, 0, 0, 0]]"
SERVER_25890,2020-10-12 12:11:00,"[[2, 86, 59, 5]]"
SERVER_25915,2020-03-24 19:43:00,"[[0, 0, 0, 0]]"
SERVER_25907,2020-09-15 13:34:00,"[[2, 3, 4, 87], [12, 25, 10, 89]]"
SERVER_25908,2020-09-24 09:03:00,"[[2, 3, 4, 90], [8, 14, 10, 90]]"
SERVER_25852,2020-01-14 22:41:00,"[[0, 0, 0, 0]]"
SERVER_25899,2020-06-22 19:34:00,"[[0, 0, 0, 0]]"
SERVER_25920,2020-05-14 07:43:00,"[[0, 0, 0, 0]]"
SERVER_25909,2020-03-22 19:47:00,"[[0, 0, 0, 0]]"
SERVER_25836,2020-03-11 14:19:00,"[[0, 0, 0, 0]]"
SERVER_25894,2020-04-22 18:04:00,"[[0, 0, 0, 0]]"
SERVER_25830,2020-01-26 16:12:00,"[[0, 0, 0, 0]]"
SERVER_25920,2020-05-10 06:25:00,"[[0, 0, 0, 0]]"
SERVER_7134,2020-11-14 15:34:00,"[[2, 3, 4, 91], [12, 14, 10, 95]]"
SERVER_6611,2020-06-24 18:38:00,"[[0, 0, 0, 0]]"
SERVER_17417,2020-08-05 18:41:00,"[[0, 0, 0, 0]]"
SERVER_26025,2020-04-22 12:23:00,"[[0, 0, 0, 0]]"
SERVER_17074,2020-05-15 19:40:00,"[[0, 0, 0, 0]]"
SERVER_6360,2020-02-27 20:31:00,"[[0, 0, 0, 0]]"
SERVER_26011,2020-05-09 15:56:00,"[[0, 0, 0, 0]]"
SERVER_6123,2020-04-20 03:06:00,"[[0, 0, 0, 0]]"
SERVER_6329,2020-09-27 14:06:00,"[[2, 3, 4, 97], [12, 9, 10, 97]]"
SERVER_6709,2020-10-11 01:43:00,"[[0, 0, 0, 0]]"
SERVER_26058,2020-05-02 15:01:00,"[[0, 0, 0, 0]]"
SERVER_26062,2020-05-02 11:48:00,"[[0, 0, 0, 0]]"
SERVER_26098,2020-06-07 19:13:00,"[[0, 0, 0, 0]]"
SERVER_26066,2020-08-08 13:39:00,"[[0, 0, 0, 0]]"
SERVER_26045,2020-03-17 21:12:00,"[[0, 0, 0, 0]]"
SERVER_26048,2020-06-02 19:59:00,"[[0, 0, 0, 0]]"
SERVER_26073,2020-06-18 13:12:00,"[[0, 0, 0, 0]]"
SERVER_26027,2020-01-29 22:19:00,"[[0, 0, 0, 0]]"
SERVER_26029,2020-01-29 17:25:00,"[[0, 0, 0, 0]]"
SERVER_26043,2020-04-18 03:55:00,"[[0, 0, 0, 0]]"
SERVER_26044,2020-03-17 21:11:00,"[[0, 0, 0, 0]]"
SERVER_26056,2020-06-17 16:22:00,"[[0, 0, 0, 0]]"
SERVER_26084,2020-07-09 14:55:00,"[[0, 0, 0, 0]]"
SERVER_26099,2020-07-09 17:33:00,"[[0, 0, 0, 0]]"
SERVER_26035,2020-01-20 12:20:00,"[[0, 0, 0, 0]]"
SERVER_26094,2020-07-09 17:22:00,"[[0, 0, 0, 0]]"
SERVER_26070,2020-07-06 22:03:00,"[[0, 0, 0, 0]]"
SERVER_26036,2020-09-14 01:04:00,"[[0, 0, 0, 0]]"
SERVER_26100,2020-06-18 12:35:00,"[[0, 0, 0, 0]]"
SERVER_26096,2020-06-18 02:04:00,"[[0, 0, 0, 0]]"
SERVER_26028,2020-01-09 13:10:00,"[[0, 0, 0, 0]]"
SERVER_6946,2020-08-02 16:23:00,"[[0, 0, 0, 0]]"
SERVER_26073,2020-03-17 17:41:00,"[[0, 0, 0, 0]]"
SERVER_26070,2020-03-17 15:05:00,"[[0, 0, 0, 0]]"
SERVER_26031,2020-03-26 22:23:00,"[[0, 0, 0, 0]]"
SERVER_26209,2020-09-25 14:29:00,"[[0, 0, 0, 0]]"
SERVER_26197,2020-08-21 15:13:00,"[[0, 0, 0, 0]]"
SERVER_26127,2020-08-26 04:42:00,"[[0, 0, 0, 0]]"
SERVER_17614,2020-10-03 14:51:00,"[[0, 0, 0, 0]]"
SERVER_26877,2020-10-15 12:43:00,"[[0, 0, 0, 0]]"
SERVER_26875,2020-10-14 07:33:00,"[[0, 0, 0, 0]]"
SERVER_26863,2020-08-30 21:20:00,"[[0, 0, 0, 0]]"
SERVER_26206,2020-09-25 14:27:00,"[[0, 0, 0, 0]]"
SERVER_26215,2020-11-18 11:12:00,"[[77, 98, 51, 99], [71, 98, 51, 100]]"
SERVER_26180,2020-08-16 20:46:00,"[[0, 0, 0, 0]]"
SERVER_7330,2020-10-18 01:22:00,"[[2, 3, 4, 101]]"
SERVER_26864,2020-08-30 21:15:00,"[[0, 0, 0, 0]]"
SERVER_26194,2020-10-03 13:51:00,"[[71, 98, 51, 104]]"
SERVER_26203,2020-09-25 14:29:00,"[[0, 0, 0, 0]]"
SERVER_26208,2020-09-25 14:27:00,"[[0, 0, 0, 0]]"
SERVER_26883,2020-09-28 21:12:00,"[[0, 0, 0, 0]]"
SERVER_26207,2020-09-25 14:28:00,"[[0, 0, 0, 0]]"
SERVER_26889,2020-11-13 22:09:00,"[[0, 0, 0, 0]]"
SERVER_26155,2020-07-31 11:34:00,"[[0, 0, 0, 0]]"
SERVER_26881,2020-09-25 17:04:00,"[[49, 105, 106, 107]]"
SERVER_26192,2020-11-21 11:19:00,"[[0, 0, 0, 0]]"
SERVER_7278,2020-11-11 13:51:00,"[[0, 0, 0, 0]]"
SERVER_26179,2020-08-13 16:57:00,"[[0, 0, 0, 0]]"
SERVER_26170,2020-10-15 17:49:00,"[[0, 0, 0, 0]]"
SERVER_26170,2020-11-21 11:23:00,"[[0, 0, 0, 0]]"
