sn,server_model,fault_time,label,msg_text,pred
SERVER_25939,SM23,2020-02-09 14:03:00,0,"["" Processor CPU_CATERR | State Asserted | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" Processor CPU_CATERR | State Deasserted | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted""]",1
SERVER_16622,SM23,2020-06-12 03:42:00,0,"["" Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted"", "" Processor CPU0_Status | Configuration Error | Asserted"", "" Unknown #0x17 |  | Asserted"", "" Processor CPU_CATERR | State Asserted | Asserted""]",1
SERVER_4714,SM23,2020-01-21 14:45:00,0,"["" Button Button_Pressed | State Asserted | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" Microcontroller BMC_Boot_Up | Device Enabled | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" Processor CPU1_Status | Presence detected | Asserted"", "" Processor CPU0_Status | Presence detected | Asserted"", "" Power Supply PS1_Status | Presence detected | Asserted"", "" Power Supply PS2_Status | Presence detected | Asserted"", "" Processor CPU_CATERR | State Asserted | Asserted"", "" Processor CPU_CATERR | State Deasserted | Asserted""]",1
SERVER_4679,SM23,2020-05-08 20:01:00,0,"["" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted"", "" Unknown #0x17 |  | Asserted"", "" Processor CPU_CATERR | State Asserted | Asserted""]",1
SERVER_25749,SM20,2020-03-22 18:31:00,0,"["" OS Stop/Shutdown OS Status | OS graceful shutdown | Asserted"", "" OS Critical Stop OS Status | OS graceful shutdown | Asserted"", "" Watchdog2 IPMI_Watchdog | Power cycle | Asserted"", "" Watchdog 2 IPMI_Watchdog | Power cycle | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted"", "" OS Boot OS Boot | boot completed - device not specified | Asserted""]",3
SERVER_15311,SM24,2020-10-02 09:36:00,0,"["" Processor CPU_CATERR | State Asserted | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" Processor CPU_CATERR | State Deasserted | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" Power Supply PowerLimiting | State Asserted | Asserted"", "" Unknown #0x17 |  | Asserted"", "" Power Supply PowerLimiting | State Deasserted | Asserted""]",1
SERVER_25756,SM24,2020-10-27 10:40:00,0,"["" Processor #0xfa | Configuration Error | Asserted"", "" System Event #0x10 | Timestamp Clock Sync | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted"", "" OS Boot #0xe9 | boot completed - device not specified | Asserted""]",1
SERVER_17248,SM24,2020-09-22 14:48:00,0,"["" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted"", "" Processor CPU_CATERR | State Asserted | Asserted""]",1
SERVER_26819,SM28,2020-01-22 22:41:00,0,"["" Watchdog 2 IPMI_Watchdog | Power cycle | Asserted"", "" Watchdog2 IPMI_Watchdog | Power cycle | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" Processor CPU0_Status | Presence detected | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" Processor CPU1_Status | Presence detected | Asserted"", "" Event Logging Disabled SEL_Status | Log almost full | Asserted"", "" Processor CPU0_Status | Thermal Trip | Asserted"", "" Processor CPU1_Status | Thermal Trip | Asserted""]",0
SERVER_25899,SM31,2020-06-22 19:34:00,0,"["" Memory CPU1_C3D0 | Uncorrectable ECC | Asserted"", "" Processor CPU0_Status | Configuration Error | Asserted"", "" Memory CPU1_C3D0 | Uncorrectable ECC | Deasserted"", "" Processor CPU0_Status | Configuration Error | Deasserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted""]",1
SERVER_6329,SM32,2020-09-27 14:06:00,0,"["" Memory CPU1D1_DIMM_Stat | Correctable ECC | Asserted"", "" Processor CPU0_Status | Configuration Error | Asserted"", "" Memory CPU1D1_DIMM_Stat | Uncorrectable ECC | Asserted"", "" Processor CPU0_Status | Configuration Error | Deasserted"", "" Memory CPU1D1_DIMM_Stat | Correctable ECC | Deasserted"", "" Memory CPU1D1_DIMM_Stat | Uncorrectable ECC | Deasserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted"", "" Unknown #0x17 |  | Asserted"", "" Processor CPU_CATERR | State Asserted | Asserted""]",0
SERVER_26062,SM36,2020-05-02 11:48:00,0,"["" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted"", "" Event Logging Disabled SEL_Status | Log area reset/cleared | Asserted"", "" Management Subsys Health System_Health | Sensor access degraded or unavailable | Deasserted"", "" Processor CPU0_Status | IERR | Deasserted"", "" Processor CPU1_Status | IERR | Deasserted"", "" Temperature CPU0_Margin_Temp | Lower Critical going low  | Deasserted | Reading 53 &lt; Threshold 1 degrees C"", "" Temperature CPU1_Margin_Temp | Lower Critical going low  | Deasserted | Reading 53 &lt; Threshold 1 degrees C""]",0
SERVER_26029,SM36,2020-01-29 17:25:00,0,"["" Management Subsys Health System_Health | Sensor access degraded or unavailable | Deasserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted"", "" Management Subsys Health System_Health | Sensor access degraded or unavailable | Asserted"", "" Processor CPU0_Status | IERR | Asserted"", "" Processor CPU1_Status | IERR | Asserted"", "" Temperature CPU1_Margin_Temp | Lower Critical going low  | Asserted | Reading 0 &lt; Threshold 1 degrees C"", "" Temperature CPU0_Margin_Temp | Lower Critical going low  | Asserted | Reading 0 &lt; Threshold 1 degrees C""]",0
SERVER_26056,SM36,2020-06-17 16:22:00,0,"["" Processor CPU0_Status | Uncorrectable machine check exception | Asserted"", "" Processor CPU1_Status | Uncorrectable machine check exception | Asserted"", "" Processor CPU1_Status | Uncorrectable machine check exception | Deasserted"", "" Processor CPU1_Status | IERR | Asserted"", "" Processor CPU0_Status | Uncorrectable machine check exception | Deasserted"", "" Processor CPU0_Status | IERR | Asserted"", "" Processor CPU0_Status | Configuration Error | Asserted"", "" Management Subsys Health System_Health | Sensor access degraded or unavailable | Asserted"", "" Management Subsys Health System_Health | Sensor access degraded or unavailable | Deasserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" Processor CPU0_Status | Configuration Error | Deasserted"", "" Processor CPU1_Status | IERR | Deasserted"", "" Processor CPU0_Status | IERR | Deasserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted""]",0
SERVER_26094,SM36,2020-07-09 17:22:00,0,"["" Processor CPU0_Status | Uncorrectable machine check exception | Asserted"", "" Processor CPU1_Status | Uncorrectable machine check exception | Asserted"", "" Processor CPU0_Status | IERR | Asserted"", "" Processor CPU1_Status | IERR | Asserted"", "" Processor CPU0_Status | Uncorrectable machine check exception | Deasserted"", "" Processor CPU1_Status | Uncorrectable machine check exception | Deasserted"", "" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" Processor CPU1_Status | IERR | Deasserted"", "" Processor CPU0_Status | IERR | Deasserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted""]",0
SERVER_26070,SM36,2020-07-06 22:03:00,0,"["" Processor CPU0_Status |  | Asserted"", "" Processor CPU0_Status | Uncorrectable machine check exception | Asserted"", "" Processor CPU1_Status | Uncorrectable machine check exception | Asserted"", "" Processor CPU1_Status |  | Asserted"", "" Processor CPU0_Status | Configuration Error | Asserted"", "" Processor CPU0_Status | IERR | Asserted"", "" Processor CPU1_Status | IERR | Asserted"", "" Processor CPU0_Status |  | Deasserted"", "" Processor CPU0_Status | Uncorrectable machine check exception | Deasserted"", "" Processor CPU1_Status | Uncorrectable machine check exception | Deasserted"", "" Processor CPU1_Status |  | Deasserted"", "" Processor CPU0_Status | IERR | Deasserted"", "" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" Processor CPU0_Status | Configuration Error | Deasserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" Processor CPU1_Status | IERR | Deasserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted""]",0
SERVER_26194,SM40,2020-10-03 13:51:00,0,"["" Processor CPU0_Status | Uncorrectable machine check exception | Asserted"", "" Processor CPU1_Status | Uncorrectable machine check exception | Asserted"", "" Processor CPU0_Status | Configuration Error | Asserted"", "" Processor CPU1_Status | Uncorrectable machine check exception | Deasserted"", "" Processor CPU0_Status | Uncorrectable machine check exception | Deasserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" Processor CPU0_Status | Configuration Error | Deasserted""]",0
SERVER_26179,SM40,2020-08-13 16:57:00,0,"["" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted"", "" Processor CPU0_Status | Uncorrectable machine check exception | Asserted"", "" Processor CPU0_Status | IERR | Asserted"", "" Processor CPU0_Status |  | Asserted"", "" Processor CPU1_Status | IERR | Asserted"", "" Processor CPU1_Status |  | Asserted"", "" Processor CPU1_Status | Uncorrectable machine check exception | Asserted"", "" Processor CPU1_Status | Configuration Error | Asserted"", "" Processor CPU0_Status | Uncorrectable machine check exception | Deasserted"", "" Processor CPU0_Status |  | Deasserted"", "" Processor CPU1_Status |  | Deasserted"", "" Processor CPU1_Status | IERR | Deasserted"", "" Processor CPU0_Status | IERR | Deasserted"", "" Processor CPU1_Status | Uncorrectable machine check exception | Deasserted"", "" Processor CPU0_Status | Configuration Error | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted""]",0
SERVER_26867,SM40,2020-10-13 18:51:00,0,"["" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted"", "" Processor CPU1_Status | Uncorrectable machine check exception | Asserted"", "" Processor CPU0_Status |  | Asserted"", "" Processor CPU0_Status | Uncorrectable machine check exception | Asserted"", "" Processor CPU1_Status |  | Asserted"", "" Processor CPU0_Status | Configuration Error | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted""]",0
SERVER_27107,SM41,2020-10-09 18:28:00,0,"["" Processor CPU0_Status | Uncorrectable machine check exception | Asserted"", "" Processor CPU1_Status | Uncorrectable machine check exception | Asserted"", "" Processor CPU0_Status | Uncorrectable machine check exception | Deasserted"", "" Processor CPU1_Status | Uncorrectable machine check exception | Deasserted"", "" Processor CPU0_Status | Configuration Error | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted""]",0
SERVER_26143,SM41,2020-08-21 15:33:00,0,"["" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted"", "" Processor CPU1_Status | Uncorrectable machine check exception | Asserted"", "" Processor CPU0_Status | Uncorrectable machine check exception | Asserted"", "" Processor CPU1_Status | Configuration Error | Asserted"", "" Processor CPU0_Status | Uncorrectable machine check exception | Deasserted"", "" Processor CPU1_Status | IERR | Asserted"", "" Processor CPU0_Status | IERR | Asserted"", "" Processor CPU1_Status | Uncorrectable machine check exception | Deasserted"", "" Processor CPU1_Status | Configuration Error | Deasserted"", "" Processor CPU1_Status | IERR | Deasserted"", "" Processor CPU0_Status | IERR | Deasserted""]",0
SERVER_27086,SM35,2020-05-17 18:09:00,0,"["" Memory CPU1B0_DIMM_Stat | Correctable ECC | Asserted"", "" Memory CPU1B0_DIMM_Stat | Uncorrectable ECC | Asserted"", "" Processor CPU1_Status | Configuration Error | Asserted"", "" Memory CPU1B0_DIMM_Stat | Correctable ECC | Deasserted"", "" Memory CPU1B0_DIMM_Stat | Memory Device Disabled | Asserted"", "" Memory CPU1B0_DIMM_Stat | Memory Device Disabled | Deasserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted""]",0
SERVER_10180,SM35,2020-09-14 08:50:00,0,"["" Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted"", "" Memory CPU1D0_DIMM_Stat | Uncorrectable ECC | Asserted"", "" Processor CPU1_Status | Configuration Error | Asserted"", "" Memory CPU0F0_DIMM_Stat | Memory Device Disabled | Asserted"", "" Memory CPU0F0_DIMM_Stat | Correctable ECC | Deasserted"", "" Memory CPU0A0_DIMM_Stat | Memory Device Disabled | Asserted"", "" Memory CPU0E0_DIMM_Stat | Correctable ECC | Deasserted"", "" Memory CPU1E0_DIMM_Stat | Correctable ECC | Deasserted"", "" Memory CPU1F0_DIMM_Stat | Correctable ECC | Deasserted"", "" Memory CPU1D0_DIMM_Stat | Correctable ECC | Deasserted"", "" Memory CPU1A0_DIMM_Stat | Memory Device Disabled | Asserted"", "" Processor CPU1_Status | Configuration Error | Deasserted"", "" Memory CPU1D0_DIMM_Stat | Uncorrectable ECC | Deasserted"", "" Memory CPU0F0_DIMM_Stat | Memory Device Disabled | Deasserted"", "" Memory CPU0A0_DIMM_Stat | Memory Device Disabled | Deasserted"", "" Memory CPU1E0_DIMM_Stat | Memory Device Disabled | Asserted"", "" Memory CPU1A0_DIMM_Stat | Memory Device Disabled | Deasserted"", "" Memory CPU1E0_DIMM_Stat | Memory Device Disabled | Deasserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted""]",0
SERVER_7729,SM35,2020-01-11 19:50:00,0,"["" Memory CPU1B0_DIMM_Stat | Correctable ECC | Asserted"", "" Processor CPU1_Status | Configuration Error | Asserted"", "" Memory CPU1B0_DIMM_Stat | Uncorrectable ECC | Asserted""]",1
SERVER_10516,SM35,2020-02-24 16:03:00,0,"["" Memory CPU1A0_DIMM_Stat | Correctable ECC | Asserted"", "" Memory CPU1A0_DIMM_Stat | Uncorrectable ECC | Asserted"", "" Processor CPU1_Status | Configuration Error | Asserted"", "" Memory CPU1A0_DIMM_Stat | Correctable ECC | Deasserted"", "" Memory CPU1A0_DIMM_Stat | Memory Device Disabled | Asserted"", "" Memory CPU1A0_DIMM_Stat | Memory Device Disabled | Deasserted"", "" Memory CPU1A0_DIMM_Stat | Uncorrectable ECC | Deasserted"", "" Processor CPU1_Status | Configuration Error | Deasserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted""]",0
SERVER_9434,SM35,2020-03-28 11:49:00,0,"["" Memory CPU1E1_DIMM_Stat | Correctable ECC | Asserted"", "" Memory CPU1E1_DIMM_Stat | Uncorrectable ECC | Asserted"", "" Processor CPU1_Status | Configuration Error | Asserted"", "" Processor CPU1_Status | Configuration Error | Deasserted"", "" Memory CPU1E1_DIMM_Stat | Correctable ECC | Deasserted"", "" Memory CPU1E1_DIMM_Stat | Uncorrectable ECC | Deasserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted""]",1
SERVER_22864,SM35,2020-06-24 09:35:00,0,"["" Memory CPU0B0_DIMM_Stat | Correctable ECC | Asserted"", "" Processor CPU0_Status | IERR | Asserted""]",1
SERVER_8734,SM35,2020-10-31 18:40:00,0,"["" Memory CPU1A0_DIMM_Stat | Correctable ECC | Asserted"", "" Memory CPU1A0_DIMM_Stat | Uncorrectable ECC | Asserted"", "" Processor CPU1_Status | Configuration Error | Asserted""]",0
SERVER_20292,SM35,2020-09-08 10:57:00,0,"["" Processor CPU0_Status | IERR | Deasserted"", "" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" Processor CPU1_Status | IERR | Deasserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" Processor CPU0_Status | Configuration Error | Deasserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted"", "" Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted"", "" Memory CPU0D0_DIMM_Stat | Correctable ECC | Deasserted"", "" Processor CPU1_Status | IERR | Asserted"", "" Processor CPU0_Status | IERR | Asserted"", "" Processor CPU0_Status | Configuration Error | Asserted""]",0
SERVER_26527,SM35,2020-10-15 16:32:00,0,"["" Processor CPU1_Status | Configuration Error | Asserted"", "" Memory CPU1F0_DIMM_Stat | Uncorrectable ECC | Asserted"", "" Memory CPU0C0_DIMM_Stat | Memory Device Disabled | Asserted"", "" Memory CPU1F0_DIMM_Stat | Uncorrectable ECC | Deasserted"", "" Memory CPU0E0_DIMM_Stat | Memory Device Disabled | Asserted"", "" Processor CPU1_Status | Configuration Error | Deasserted"", "" Memory CPU0F0_DIMM_Stat | Memory Device Disabled | Asserted"", "" Memory CPU0E0_DIMM_Stat | Memory Device Disabled | Deasserted"", "" Memory CPU0C0_DIMM_Stat | Memory Device Disabled | Deasserted"", "" Memory CPU0F0_DIMM_Stat | Memory Device Disabled | Deasserted"", "" Memory CPU0A0_DIMM_Stat | Memory Device Disabled | Asserted"", "" Memory CPU1B0_DIMM_Stat | Memory Device Disabled | Asserted"", "" Memory CPU1F0_DIMM_Stat | Memory Device Disabled | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted""]",0
SERVER_27480,SM35,2020-08-14 19:36:00,0,"["" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted"", "" Processor CPU0_Status | IERR | Asserted"", "" Processor CPU0_Status | IERR | Deasserted"", "" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted""]",1
SERVER_27479,SM35,2020-08-14 19:35:00,0,"["" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted"", "" Processor CPU1_Status | IERR | Asserted"", "" Processor CPU0_Status | IERR | Asserted"", "" Processor CPU0_Status | Configuration Error | Asserted"", "" Processor CPU0_Status | IERR | Deasserted"", "" Processor CPU1_Status | IERR | Deasserted"", "" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" Processor CPU0_Status | Configuration Error | Deasserted""]",1
SERVER_26229,SM35,2020-05-05 12:30:00,0,"["" Button Button_Pressed | Power Button pressed | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" Processor CPU0_Status | IERR | Deasserted"", "" Power Supply PS2_Status | AC out-of-range, but present | Asserted"", "" Power Supply PS2_Status | Power Supply AC lost | Asserted"", "" Microcontroller BMC_Boot_Up | Device Enabled | Asserted"", "" Processor CPU0_Status | Presence detected | Asserted"", "" Processor CPU1_Status | Presence detected | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" Power Supply PS1_Status | Presence detected | Asserted"", "" Power Supply PS2_Status | Presence detected | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted""]",1
